               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086629,            0.031312,            0.054619,            0.070217,             0.42569,             0.10808,            0.040818,            0.062136,            0.017305,            0.044983,              0.0721,              0.0031,              0.0031
                   1,            0.053415,            0.023209,            0.050482,             0.09897,             0.48819,             0.13372,             0.04433,            0.052653,            0.010465,            0.043211,            0.043279,           0.0062792,           0.0062792
                   2,            0.045879,              0.0199,            0.048155,             0.14586,              0.3249,             0.16968,            0.067468,            0.044837,            0.013743,            0.041098,            0.014437,           0.0094373,           0.0094373
                   3,            0.038812,            0.018447,            0.044851,              0.1917,             0.31697,             0.19577,             0.10876,             0.04932,            0.014746,             0.03677,            0.009901,            0.009901,            0.009901
                   4,            0.034534,            0.018657,            0.043494,             0.15408,             0.16124,            0.096361,            0.051848,            0.052591,            0.019141,            0.038521,            0.009901,            0.009901,            0.009901
                   5,            0.032403,             0.01695,            0.039741,             0.17935,             0.14617,             0.10046,              0.0569,            0.052885,            0.023014,            0.035336,            0.009868,            0.009868,            0.009868
                   6,            0.030205,            0.015822,            0.038154,          0.00073889,           0.0086443,          0.00019092,          9.1392e-05,             0.08766,            0.020678,            0.048047,            0.009835,            0.009835,            0.009835
                   7,            0.029182,              0.0158,             0.03675,             0.50017,             0.64485,             0.56236,             0.38462,            0.031606,           0.0097159,            0.032078,            0.009802,            0.009802,            0.009802
                   8,            0.028676,            0.015348,              0.0361,             0.27207,             0.21332,             0.14871,            0.086605,            0.050791,            0.022655,            0.034452,            0.009769,            0.009769,            0.009769
                   9,             0.02693,             0.01497,            0.035241,             0.57725,             0.36954,             0.43724,             0.31281,            0.034588,            0.018436,            0.029052,            0.009736,            0.009736,            0.009736
                  10,            0.027395,            0.015306,            0.034088,             0.48133,             0.32288,              0.3775,             0.25162,            0.036038,            0.017114,            0.034879,            0.009703,            0.009703,            0.009703
                  11,             0.02721,             0.01529,            0.033086,             0.65756,             0.48487,             0.55159,             0.38509,            0.028472,            0.010346,            0.030677,             0.00967,             0.00967,             0.00967
                  12,            0.026189,            0.014726,            0.031887,             0.33859,             0.37806,             0.31337,             0.22869,            0.031467,            0.015742,            0.031502,            0.009637,            0.009637,            0.009637
                  13,            0.026738,            0.015018,             0.03229,             0.76046,             0.60727,             0.69884,             0.53414,            0.029339,            0.011388,            0.021247,            0.009604,            0.009604,            0.009604
                  14,            0.025425,             0.01415,            0.030499,             0.66689,              0.5294,             0.55489,             0.43471,            0.029855,            0.010525,            0.028343,            0.009571,            0.009571,            0.009571
                  15,            0.025703,            0.014462,             0.03039,             0.74229,             0.50084,             0.64732,             0.49205,            0.029129,           0.0086499,            0.024458,            0.009538,            0.009538,            0.009538
                  16,            0.025465,              0.0147,             0.02933,             0.69831,             0.68224,             0.71172,             0.51367,            0.028982,           0.0085652,            0.028824,            0.009505,            0.009505,            0.009505
                  17,            0.024934,            0.013986,            0.028612,              0.6775,             0.56226,             0.59951,             0.44721,            0.030753,            0.011056,            0.027418,            0.009472,            0.009472,            0.009472
                  18,            0.024981,            0.014147,             0.03059,              0.6774,             0.48058,             0.51362,             0.40927,            0.030364,            0.015093,            0.023418,            0.009439,            0.009439,            0.009439
                  19,            0.025025,            0.013734,            0.028371,             0.79365,             0.61789,             0.69625,             0.54812,            0.026849,            0.011879,            0.018364,            0.009406,            0.009406,            0.009406
                  20,            0.023795,            0.013239,             0.02626,             0.64135,             0.59094,             0.62578,                0.47,            0.029817,            0.010217,             0.02262,            0.009373,            0.009373,            0.009373
                  21,            0.024508,            0.013233,            0.028178,             0.71486,             0.56246,             0.60515,             0.48436,            0.026827,             0.01205,            0.018045,             0.00934,             0.00934,             0.00934
                  22,             0.02374,            0.013394,            0.028096,             0.68068,             0.67872,             0.70452,             0.55279,            0.027054,           0.0091998,            0.021147,            0.009307,            0.009307,            0.009307
                  23,            0.023025,            0.013025,            0.027808,             0.80079,             0.34047,             0.47693,               0.392,            0.028305,            0.021016,            0.026937,            0.009274,            0.009274,            0.009274
                  24,            0.023255,            0.012933,            0.025784,              0.7865,             0.75954,             0.79919,             0.64671,            0.023575,           0.0085075,            0.020831,            0.009241,            0.009241,            0.009241
                  25,            0.023482,            0.013251,            0.026326,             0.77316,             0.68057,             0.70827,             0.54227,             0.02807,            0.012023,             0.01623,            0.009208,            0.009208,            0.009208
                  26,            0.023624,            0.012699,            0.026043,               0.797,             0.65708,             0.71808,             0.58096,            0.025238,            0.011319,              0.0313,            0.009175,            0.009175,            0.009175
                  27,            0.023072,            0.012754,            0.024468,             0.90355,             0.68555,             0.77023,              0.6177,            0.027006,             0.01311,            0.017465,            0.009142,            0.009142,            0.009142
                  28,            0.022927,            0.012378,            0.025831,             0.89503,             0.73784,             0.82349,              0.6616,            0.025761,            0.010594,            0.014034,            0.009109,            0.009109,            0.009109
                  29,            0.022839,            0.012787,            0.026228,              0.7891,             0.56385,             0.64585,             0.51796,            0.028086,            0.013936,            0.023694,            0.009076,            0.009076,            0.009076
                  30,             0.02259,            0.012143,            0.025218,             0.85548,             0.68382,             0.74287,             0.59981,            0.025762,             0.01383,            0.023803,            0.009043,            0.009043,            0.009043
                  31,            0.022272,             0.01189,             0.02706,             0.83456,              0.6467,             0.72175,             0.58158,            0.026864,            0.011404,            0.025425,             0.00901,             0.00901,             0.00901
                  32,             0.02274,            0.012466,            0.024054,             0.76055,             0.69994,             0.74035,             0.59033,            0.024433,           0.0096079,            0.014145,            0.008977,            0.008977,            0.008977
                  33,            0.021959,            0.011911,            0.026408,              0.6927,             0.60234,             0.65144,             0.52344,            0.026825,            0.012858,            0.030824,            0.008944,            0.008944,            0.008944
                  34,            0.021229,            0.012086,             0.02633,             0.83042,             0.59761,             0.67379,             0.56639,            0.025802,            0.013677,            0.032893,            0.008911,            0.008911,            0.008911
                  35,            0.021811,            0.012191,             0.02515,             0.83178,             0.52952,              0.6006,             0.50653,            0.027905,            0.011042,            0.036176,            0.008878,            0.008878,            0.008878
                  36,            0.020061,            0.011689,            0.026548,             0.85644,             0.62476,             0.70082,             0.56375,            0.026954,            0.011437,            0.022566,            0.008845,            0.008845,            0.008845
                  37,            0.021498,            0.011477,            0.025712,             0.84329,             0.65884,             0.74398,             0.62133,            0.026333,            0.013132,            0.014269,            0.008812,            0.008812,            0.008812
                  38,            0.022166,             0.01192,            0.025952,             0.74655,             0.67451,             0.72041,             0.59322,            0.023203,            0.011597,             0.01912,            0.008779,            0.008779,            0.008779
                  39,             0.02127,            0.011879,            0.024139,             0.83757,             0.64153,             0.75775,             0.64082,            0.025103,             0.01161,            0.027047,            0.008746,            0.008746,            0.008746
                  40,            0.020636,            0.011213,            0.026397,             0.66927,             0.59193,             0.67275,             0.54864,            0.023591,            0.011629,            0.031179,            0.008713,            0.008713,            0.008713
                  41,            0.020406,            0.011031,            0.025136,              0.8302,             0.59724,             0.64843,             0.52654,             0.02612,            0.013514,            0.021519,             0.00868,             0.00868,             0.00868
                  42,            0.021062,            0.011569,            0.023822,             0.76985,             0.57247,             0.66391,             0.55238,             0.02594,            0.014013,            0.029957,            0.008647,            0.008647,            0.008647
                  43,            0.020743,            0.011324,            0.025995,             0.79663,             0.67958,             0.74381,               0.597,              0.0241,            0.010509,            0.020349,            0.008614,            0.008614,            0.008614
                  44,            0.020889,            0.011487,            0.024754,             0.83017,             0.69075,             0.74945,             0.62571,            0.023751,            0.011628,            0.026347,            0.008581,            0.008581,            0.008581
